time (s),T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4
7.61,30.710000,30.680000,30.680000,30.680000,30.710000,30.660000,-356.540000,-356.660000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
7.87,30.710000,30.680000,30.680000,30.680000,30.710000,30.660000,-356.580000,-356.660000,-356.620000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
8.09,30.710000,30.680000,30.680000,30.680000,30.710000,30.660000,-356.580000,-356.660000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
8.31,30.710000,30.680000,30.680000,30.680000,30.710000,30.660000,-356.580000,-356.660000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
8.51,30.710000,30.680000,30.680000,30.680000,30.710000,30.660000,-356.580000,-356.660000,-356.580000,-356.620000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
8.73,30.710000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.660000,-356.580000,-356.620000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
8.93,30.710000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.660000,-356.580000,-356.620000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
9.15,30.710000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.620000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
9.37,30.710000,30.660000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
9.58,30.710000,30.660000,30.710000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
9.79,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
9.99,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
10.19,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
10.41,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
10.62,30.710000,30.680000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
10.83,30.710000,30.680000,30.680000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
11.03,30.710000,30.680000,30.680000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
11.24,30.710000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
