time (s),T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4
146.25,30.740000,30.630000,30.680000,30.630000,30.740000,30.630000,-356.540000,-356.620000,-356.580000,-356.660000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
1.01,30.740000,30.660000,30.710000,30.660000,30.710000,30.630000,-356.500000,-356.660000,-356.540000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
1.98,30.710000,30.660000,30.710000,30.630000,30.710000,30.630000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
2.99,30.740000,30.660000,30.680000,30.660000,30.710000,30.630000,-356.500000,-356.660000,-356.580000,-356.620000,-356.580000,-356.660000,0.000,0.000,0.000,0.000
3.98,30.740000,30.660000,30.710000,30.660000,30.710000,30.630000,-356.540000,-356.660000,-356.580000,-356.660000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
5.00,30.710000,30.660000,30.680000,30.660000,30.710000,30.630000,-356.540000,-356.660000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
6.01,30.740000,30.660000,30.710000,30.660000,30.710000,30.630000,-356.500000,-356.620000,-356.580000,-356.660000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
7.00,30.710000,30.660000,30.710000,30.660000,30.710000,30.630000,-356.540000,-356.660000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
8.01,30.740000,30.660000,30.710000,30.660000,30.710000,30.630000,-356.540000,-356.660000,-356.580000,-356.700000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
8.99,30.740000,30.660000,30.710000,30.630000,30.710000,30.630000,-356.500000,-356.660000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
10.01,30.710000,30.630000,30.710000,30.660000,30.710000,30.630000,-356.540000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
11.00,30.710000,30.630000,30.680000,30.660000,30.710000,30.630000,-356.540000,-356.660000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
12.01,30.710000,30.660000,30.680000,30.660000,30.680000,30.630000,-356.500000,-356.660000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
12.99,30.710000,30.630000,30.680000,30.630000,30.710000,30.630000,-356.540000,-356.660000,-356.580000,-356.660000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
14.00,30.710000,30.660000,30.710000,30.660000,30.680000,30.630000,-356.540000,-356.660000,-356.580000,-356.660000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
15.01,30.710000,30.660000,30.710000,30.660000,30.710000,30.630000,-356.540000,-356.660000,-356.580000,-356.700000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
16.01,30.710000,30.630000,30.680000,30.660000,30.680000,30.630000,-356.540000,-356.620000,-356.580000,-356.660000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
17.02,30.710000,30.660000,30.710000,30.660000,30.660000,30.630000,-356.540000,-356.620000,-356.620000,-356.620000,-356.620000,-356.700000,0.000,0.000,0.000,0.000
